Block,Acceptance
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,0
466,0
467,1
468,1
469,0
470,1
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,1
492,0
493,1
494,1
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,1
529,0
530,0
531,0
