# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.064633041             0             0
0.12926608             0             0
0.19389912             0             0
0.25853216             0             0
0.3231652             0             0
0.38779824             0             0
0.45243128             0             0
0.51706433             0             0
0.58169737             0             0
0.64633041             0             0
0.71096345             0             0
0.77559649             0             0
0.84022953  0.0009387341  1.158321e-08
0.90486257    0.14764594 3.9577737e-08
0.96949561     1.0653188 6.2802648e-08
1.0341287     2.0370512 7.1389205e-08
1.0987617     2.2644706 7.1218255e-08
1.1633947     2.0801511 6.7813723e-08
1.2280278     1.8332114 6.3918536e-08
1.2926608     1.6139847 6.0367449e-08
1.3572939       1.45073 5.7424978e-08
1.4219269     1.3309182 5.4980328e-08
1.4865599     1.2493081 5.2933336e-08
1.551193     1.1852034 5.1188083e-08
1.615826     1.1412786 4.9670021e-08
1.6804591     1.1108617 4.8429316e-08
1.7450921     1.0869551 4.7285085e-08
1.8097251     1.0736239  4.631993e-08
1.8743582     1.0636703 4.5429302e-08
1.9389912     1.0585807 4.4604227e-08
2.0036243      1.055313 4.3897135e-08
2.0682573     1.0517083 4.3165525e-08
2.1328903     1.0495604 4.2519224e-08
2.1975234     1.0445095 4.1772945e-08
2.2621564     1.0407597 4.1208264e-08
2.3267895     1.0327773 4.0549345e-08
2.3914225     1.0277712 3.9928075e-08
2.4560555      1.021113  3.930693e-08
2.5206886     1.0169383 3.8733532e-08
2.5853216     1.0125425 3.8255496e-08
2.6499547     1.0078523 3.7725193e-08
2.7145877     1.0053293 3.7226017e-08
2.7792208     1.0021902 3.6741969e-08
2.8438538    0.99966242 3.6334827e-08
2.9084868    0.99841201 3.5894737e-08
2.9731199    0.99680491 3.5459204e-08
3.0377529    0.99444614  3.504581e-08
3.102386    0.99279874 3.4688062e-08
3.167019    0.99121237 3.4291556e-08
3.231652    0.98977626 3.3924108e-08
3.2962851    0.98910999 3.3591284e-08
3.3609181    0.98790729  3.327635e-08
3.4255512    0.98592079 3.2928015e-08
3.4901842    0.98552882 3.2579737e-08
3.5548172    0.98472826 3.2259892e-08
3.6194503    0.98323198 3.1957673e-08
3.6840833    0.98257837 3.1678742e-08
3.7487164    0.98120927 3.1410995e-08
3.8133494    0.98084576 3.1118342e-08
3.8779824    0.97986699 3.0824769e-08
3.9426155    0.97958547 3.0602147e-08
4.0072485    0.97927272 3.0319003e-08
4.0718816    0.97802322 3.0060365e-08
4.1365146    0.97782246 2.9806703e-08
4.2011476    0.97678582 2.9565963e-08
4.2657807    0.97673301 2.9318799e-08
4.3304137    0.97654463 2.9083483e-08
4.3950468    0.97626004 2.8879665e-08
4.4596798    0.97446249 2.8637612e-08
4.5243128    0.97376963 2.8404825e-08
4.5889459    0.97341805 2.8201784e-08
4.6535789    0.97238498 2.7988342e-08
4.718212    0.97236343 2.7780306e-08
4.782845    0.97171636 2.7604051e-08
4.8474781    0.97125246 2.7383654e-08
4.9121111     0.9705313 2.7202037e-08
4.9767441    0.97032658  2.699087e-08
5.0413772    0.96953321 2.6792855e-08
5.1060102    0.96938269 2.6644456e-08
5.1706433    0.96822167 2.6469728e-08
5.2352763    0.96802752 2.6281073e-08
5.2999093     0.9673018 2.6079918e-08
5.3645424    0.96692273 2.5913501e-08
5.4291754     0.9664704 2.5745225e-08
5.4938085    0.96616036 2.5630804e-08
5.5584415    0.96559296 2.5450249e-08
5.6230745    0.96440616 2.5281183e-08
5.6877076    0.96288625 2.5079446e-08
5.7523406    0.96230964  2.491745e-08
5.8169737    0.96129937 2.4799131e-08
5.8816067    0.96108429 2.4659983e-08
5.9462397    0.96060444 2.4507319e-08
6.0108728    0.95969265 2.4366001e-08
6.0755058    0.95938957 2.4236589e-08
6.1401389    0.95886561 2.4060838e-08
6.2047719    0.96239971 2.4020874e-08
6.2694049     0.9620817 2.3870937e-08
6.334038    0.96165082 2.3743274e-08
6.398671    0.96082671 2.3607227e-08
