# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.023066429             0             0
0.046132858             0             0
0.069199286             0             0
0.092265715             0             0
0.11533214             0             0
0.13839857             0             0
0.161465             0             0
0.18453143             0             0
0.20759786             0             0
0.23066429             0             0
0.25373072             0             0
0.27679715             0             0
0.29986357             0             0
 0.32293             0             0
0.34599643             0             0
0.36906286             0             0
0.39212929             0             0
0.41519572             0             0
0.43826215             0             0
0.46132858             0             0
0.484395             0             0
0.50746143             0             0
0.53052786             0             0
0.55359429             0             0
0.57666072             0             0
0.59972715             0             0
0.62279358             0             0
0.64586001             0             0
0.66892644             0             0
0.69199286             0             0
0.71505929             0             0
0.73812572             0             0
0.76119215             0             0
0.78425858             0             0
0.80732501             0             0
0.83039144             0             0
0.85345787             0             0
0.87652429 7.6144278e-05 3.6590106e-09
0.89959072  0.0032690564 9.2610781e-09
0.92265715   0.047212388 1.7851062e-08
0.94572358    0.29252946 2.7871047e-08
0.96879001    0.99934272 3.6956566e-08
0.99185644      2.206403 4.2729987e-08
1.0149229       3.53663 4.5562381e-08
1.0379893     4.4674905 4.7386593e-08
1.0610557     4.7184811 4.8575133e-08
1.0841222     4.3351023 4.7996893e-08
1.1071886     3.5609986 4.5258425e-08
1.130255     2.6382719  4.137656e-08
1.1533214     1.7894503 3.7339235e-08
1.1763879     1.1195003 3.3602317e-08
1.1994543     0.6492643 2.9806481e-08
1.2225207    0.35173955 2.5932953e-08
1.2455872    0.17941956 2.2036848e-08
1.2686536   0.088969122 1.8491364e-08
 1.29172   0.049194798 1.5900627e-08
1.3147864   0.042394357 1.5113474e-08
1.3378529   0.060894948 1.6162973e-08
1.3609193    0.10627405 1.8260641e-08
1.3839857    0.18415186 2.0501134e-08
1.4070522    0.29964521 2.2517304e-08
1.4301186    0.45086861 2.4236479e-08
1.453185    0.62390095 2.5871809e-08
1.4762514    0.78752111 2.7346875e-08
1.4993179    0.91010771 2.8599203e-08
1.5223843     0.9570962  2.902387e-08
1.5454507    0.91631159 2.8349032e-08
1.5685172    0.79809352  2.672528e-08
1.5915836    0.63494452 2.4762426e-08
 1.61465    0.46197889 2.2884017e-08
1.6377164    0.31519293 2.1280692e-08
1.6607829    0.21862526 2.0196669e-08
1.6838493    0.19130227 2.0418899e-08
1.7069157    0.25384954 2.2102006e-08
1.7299822    0.43045748  2.448672e-08
1.7530486    0.73976633 2.6662603e-08
1.776115     1.1738229 2.8011731e-08
1.7991814     1.6765856 2.9165257e-08
1.8222479     2.1495824 3.1080744e-08
1.8453143     2.4445081 3.2919457e-08
1.8683807     2.5434192  3.393015e-08
1.8914472     2.4009361 3.2947483e-08
1.9145136     2.0634201   3.05334e-08
 1.93758     1.6170585  2.786798e-08
1.9606464     1.1625061 2.6068936e-08
1.9837129    0.78423397 2.5170997e-08
2.0067793    0.53401357 2.4370363e-08
2.0298457    0.42958353 2.3510644e-08
2.0529122    0.45584861    2.2658e-08
2.0759786    0.57788829 2.2114322e-08
2.099045    0.74385595 2.2310094e-08
2.1221114    0.89642735 2.3386342e-08
2.1451779    0.98828198 2.4425916e-08
2.1682443    0.99430836 2.4668041e-08
2.1913107    0.89734228 2.3507207e-08
2.2143772    0.76602693 2.1977061e-08
2.2374436    0.64312804 2.1476692e-08
 2.26051    0.56358209 2.2315222e-08
2.2835765    0.56419257 2.3228815e-08
