# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.064633041             0             0
0.12926608             0             0
0.19389912             0             0
0.25853216             0             0
0.3231652             0             0
0.38779824             0             0
0.45243128             0             0
0.51706433             0             0
0.58169737             0             0
0.64633041             0             0
0.71096345             0             0
0.77559649             0             0
0.84022953 0.00085811153 1.1828225e-05
0.90486257    0.15064394 4.4042799e-05
0.96949561      1.067631 7.1435816e-05
1.0341287     2.0488634 7.5446483e-05
1.0987617     2.2513876 6.6337473e-05
1.1633947     2.0736955 6.5109387e-05
1.2280278     1.8422648 6.2336435e-05
1.2926608     1.6113315 6.1288803e-05
1.3572939     1.4531078 5.5783562e-05
1.4219269     1.3369018  5.572575e-05
1.4865599     1.2473595 5.4553234e-05
1.551193     1.1858109 5.0997271e-05
1.615826     1.1421267 4.9683971e-05
1.6804591     1.1132535 4.8456289e-05
1.7450921     1.0856225 4.5906523e-05
1.8097251     1.0756067 4.4528871e-05
1.8743582     1.0647446 4.2772599e-05
1.9389912     1.0588889 4.3324302e-05
2.0036243     1.0562207 4.2735053e-05
2.0682573     1.0572721  4.212797e-05
2.1328903     1.0480764 4.1594689e-05
2.1975234     1.0386196 3.9285086e-05
2.2621564      1.038291 3.7058547e-05
2.3267895     1.0339427  3.747083e-05
2.3914225     1.0268858 3.5679695e-05
2.4560555     1.0238018 3.6457133e-05
2.5206886      1.018411 3.5059357e-05
2.5853216     1.0128833 3.3660565e-05
2.6499547     1.0118965 3.4304434e-05
2.7145877     1.0054362 3.1613274e-05
2.7792208     1.0045871 3.0747015e-05
2.8438538     1.0033714 3.0807296e-05
2.9084868    0.99871083 3.0517689e-05
2.9731199    0.99726628  2.844985e-05
3.0377529    0.99510039 2.9267433e-05
3.102386    0.99295791 2.8771844e-05
3.167019      0.993443 2.8313773e-05
3.231652    0.98948601 2.5141038e-05
3.2962851    0.98878282 2.4651341e-05
3.3609181    0.98518771 2.5358991e-05
3.4255512    0.98967753 2.4850924e-05
3.4901842     0.9853228 2.4107052e-05
3.5548172    0.98511346 2.3951153e-05
3.6194503    0.98353214 2.4606133e-05
3.6840833    0.98478751 2.2653731e-05
3.7487164    0.98533836 2.1497957e-05
3.8133494    0.97947485 2.1102915e-05
3.8779824    0.98278585 2.0073808e-05
3.9426155    0.98081019 1.9367519e-05
4.0072485    0.97901847 1.9215471e-05
4.0718816    0.97845847 1.8979827e-05
4.1365146    0.97917388  1.804048e-05
4.2011476    0.98010478 1.8376938e-05
4.2657807    0.97791092 1.6313347e-05
4.3304137    0.97630951 1.5510415e-05
4.3950468    0.97605133 1.5545104e-05
4.4596798    0.97552419 1.4602458e-05
4.5243128    0.97551395 1.5033879e-05
4.5889459    0.97448848 1.2980553e-05
4.6535789    0.97464119 1.2961821e-05
4.718212    0.97307511 1.2477074e-05
4.782845    0.97354046 1.1123863e-05
4.8474781    0.97223814 9.9353666e-06
4.9121111    0.97366759 1.1238435e-05
4.9767441    0.97255302 9.8598596e-06
5.0413772    0.96975172 7.8820646e-06
5.1060102    0.96931123 5.7724369e-06
5.1706433    0.97013674 6.1474567e-06
5.2352763    0.96913793 6.9165673e-06
5.2999093    0.96693508 6.9739415e-06
5.3645424    0.96975698 4.7937564e-06
5.4291754    0.96599083 5.8082109e-06
5.4938085    0.96797703  3.600289e-06
5.5584415    0.96780953 5.5106961e-06
5.6230745    0.96684312 7.7654596e-06
5.6877076    0.96457431 7.6488223e-06
5.7523406    0.96419042 6.9160088e-06
5.8169737    0.96328176 8.1432816e-06
5.8816067    0.96356128 1.0015043e-05
5.9462397    0.96018156 9.8180721e-06
6.0108728    0.96221879  9.010419e-06
6.0755058    0.96091848 1.0471038e-05
6.1401389    0.96171348 9.4660374e-06
6.2047719    0.96370684 1.1028147e-05
6.2694049     0.9630744 1.2317268e-05
6.334038    0.96169393 1.2120261e-05
6.398671    0.96092829 1.1833841e-05
