# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.025649639             0             0
0.051299278             0             0
0.076948918             0             0
0.10259856             0             0
0.1282482             0             0
0.15389784             0             0
0.17954747             0             0
0.20519711             0             0
0.23084675             0             0
0.25649639             0             0
0.28214603             0             0
0.30779567             0             0
0.33344531             0             0
0.35909495             0             0
0.38474459             0             0
0.41039423             0             0
0.43604387             0             0
0.46169351             0             0
0.48734314             0             0
0.51299278             0             0
0.53864242             0             0
0.56429206             0             0
0.5899417             0             0
0.61559134             0             0
0.64124098             0             0
0.66689062             0             0
0.69254026             0             0
0.7181899             0             0
0.74383954             0             0
0.76948918             0             0
0.79513882             0             0
0.82078845             0             0
0.84643809 2.3342748e-05 6.9746701e-06
0.87208773  0.0011288911 4.7400497e-05
0.89773737   0.024072024 0.00024860785
0.92338701    0.16674981 0.00077820541
0.94903665     0.5626481  0.0014830868
0.97468629     1.1996958  0.0021944705
1.0003359       1.85306  0.0023502138
1.0259856      2.315292  0.0022318437
1.0516352     2.5207116  0.0021620247
1.0772848     2.5219774  0.0019904553
1.1029345     2.3799335   0.001960113
1.1285841     2.1755226  0.0019543883
1.1542338     1.9484028  0.0020007934
1.1798834     1.7358195  0.0018107429
1.205533     1.5428475  0.0017161472
1.2311827     1.3763463  0.0015867248
1.2568323     1.2342629  0.0014649326
1.282482     1.1128236  0.0013519524
1.3081316     1.0164065  0.0012836165
1.3337812    0.93231525  0.0011711558
1.3594309    0.86653496  0.0011377113
1.3850805    0.81306302  0.0010332028
1.4107302    0.76710885  0.0010106421
1.4363798    0.73495185 0.00099484254
1.4620294    0.70815659 0.00095491356
1.4876791    0.68513857  0.0010144667
1.5133287    0.67535045 0.00099006304
1.5389784    0.66935864 0.00093925096
1.564628    0.66760525 0.00098186746
1.5902776      0.670741 0.00093472654
1.6159273    0.68253731 0.00090815547
1.6415769    0.69744775 0.00093909218
1.6672265    0.71705119 0.00089330366
1.6928762     0.7434074 0.00090431429
1.7185258    0.77421987 0.00089990856
1.7441755    0.80802617 0.00092276496
1.7698251    0.84633164 0.00095569499
1.7954747     0.8839286  0.0010082518
1.8211244    0.92526046  0.0010217693
1.846774    0.96428046 0.00096092264
1.8724237     1.0041669 0.00097605241
1.8980733      1.041502 0.00094102676
1.9237229     1.0779868 0.00089102015
1.9493726     1.1106098 0.00088419011
1.9750222     1.1392416 0.00084131075
2.0006719      1.162489 0.00083271614
2.0263215     1.1792514 0.00085198765
2.0519711     1.1863901 0.00084838311
2.0776208     1.1870932 0.00080938813
2.1032704     1.1805854 0.00084309275
2.1289201     1.1658094 0.00085353169
2.1545697     1.1456824 0.00085907191
2.1802193     1.1226609 0.00084754628
2.205869      1.096668 0.00085339886
2.2315186     1.0689126 0.00082044985
2.2571682     1.0412628 0.00081566179
2.2828179     1.0143468 0.00076988646
2.3084675    0.98817224 0.00080434375
2.3341172    0.96520161 0.00075356393
2.3597668    0.94368771 0.00073661895
2.3854164    0.92516394 0.00070413938
2.4110661    0.90889094 0.00071560364
2.4367157     0.8969924 0.00069355267
2.4623654    0.88889901 0.00067830906
2.488015    0.87589077 0.00067304489
2.5136646     0.8670092 0.00066412611
2.5393143    0.86628779 0.00064434857
