# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.023066429             0             0
0.046132858             0             0
0.069199286             0             0
0.092265715             0             0
0.11533214             0             0
0.13839857             0             0
0.161465             0             0
0.18453143             0             0
0.20759786             0             0
0.23066429             0             0
0.25373072             0             0
0.27679715             0             0
0.29986357             0             0
 0.32293             0             0
0.34599643             0             0
0.36906286             0             0
0.39212929             0             0
0.41519572             0             0
0.43826215             0             0
0.46132858             0             0
0.484395             0             0
0.50746143             0             0
0.53052786             0             0
0.55359429             0             0
0.57666072             0             0
0.59972715             0             0
0.62279358             0             0
0.64586001             0             0
0.66892644             0             0
0.69199286             0             0
0.71505929             0             0
0.73812572             0             0
0.76119215             0             0
0.78425858             0             0
0.80732501             0             0
0.83039144             0             0
0.85345787             0             0
0.87652429 7.9531741e-05 3.6317022e-06
0.89959072  0.0033188674 9.6788679e-06
0.92265715   0.047115495 2.0086615e-05
0.94572358    0.29077864 3.3437501e-05
0.96879001    0.99744673 3.6193899e-05
0.99185644     2.2062595  4.622484e-05
1.0149229     3.5356461 0.00010039744
1.0379893     4.4615339 0.00013142906
1.0610557     4.7116513 0.00013646171
1.0841222     4.3255135 0.00012171991
1.1071886     3.5630986 9.7280174e-05
1.130255     2.6385189  6.815229e-05
1.1533214     1.7868657 3.9790324e-05
1.1763879     1.1193034 1.4157974e-05
1.1994543    0.64910103 3.1134811e-05
1.2225207     0.3520993 3.2838083e-05
1.2455872     0.1793366 3.0620809e-05
1.2686536      0.089189 2.6262196e-05
 1.29172   0.049602783 2.2911652e-05
1.3147864   0.042670806  2.149466e-05
1.3378529   0.061193688 2.2397544e-05
1.3609193    0.10647646 2.4993459e-05
1.3839857    0.18414073 2.6900604e-05
1.4070522    0.29850767 2.6467449e-05
1.4301186    0.45066153 2.2648035e-05
1.453185      0.624866 1.8474637e-05
1.4762514    0.78888342 1.9827794e-05
1.4993179    0.90990278 2.2499096e-05
1.5223843    0.95631099 2.4260801e-05
1.5454507    0.91590548 2.3803605e-05
1.5685172    0.79688942 2.0158271e-05
1.5915836    0.63385193 1.6905024e-05
 1.61465    0.46224502 2.0216878e-05
1.6377164    0.31552746 2.5406254e-05
1.6607829    0.21921558  2.876939e-05
1.6838493    0.19171492 3.1512144e-05
1.7069157    0.25376778 3.3885242e-05
1.7299822    0.43100523 3.5426162e-05
1.7530486    0.73930131 3.0972547e-05
1.776115     1.1727984 9.6129307e-06
1.7991814     1.6758173 4.2777331e-05
1.8222479     2.1438988 5.5611292e-05
1.8453143     2.4439835 6.1696867e-05
1.8683807      2.542894 6.3153165e-05
1.8914472     2.4015932 5.8832928e-05
1.9145136     2.0636099 5.0872609e-05
 1.93758     1.6172165 4.0202423e-05
1.9606464     1.1621626 2.0872735e-05
1.9837129    0.78412477 2.5209533e-05
2.0067793    0.53375891 3.3898326e-05
2.0298457    0.42922883 3.5513135e-05
2.0529122    0.45557785 3.2395724e-05
2.0759786    0.57813796 2.4161451e-05
2.099045    0.74431204 6.5961169e-06
2.1221114    0.89524534 9.4177276e-06
2.1451779     0.9872395 4.1804267e-06
2.1682443    0.99372655   1.11331e-05
2.1913107    0.89635151 8.9047789e-06
2.2143772    0.76580355 4.0184462e-06
2.2374436    0.64295154 1.8031084e-05
 2.26051    0.56342987 2.9146154e-05
2.2835765    0.56444124 3.3134042e-05
