# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.064633041             0             0
0.12926608             0             0
0.19389912             0             0
0.25853216             0             0
0.3231652             0             0
0.38779824             0             0
0.45243128             0             0
0.51706433             0             0
0.58169737             0             0
0.64633041             0             0
0.71096345             0             0
0.77559649             0             0
0.84022953  0.0010700088 6.5663949e-06
0.90486257    0.15498868 2.7261544e-05
0.96949561     1.0634133 4.1585485e-05
1.0341287     1.9811497 4.4810422e-05
1.0987617     2.1981386 5.7711433e-05
1.1633947     2.0268965 5.1869956e-05
1.2280278     1.7928659 4.7082409e-05
1.2926608     1.5861706 4.3787909e-05
1.3572939     1.4336611 4.1592536e-05
1.4219269     1.3212729 3.9903024e-05
1.4865599     1.2374744 3.8457037e-05
1.551193      1.176857 3.6463439e-05
1.615826     1.1355006 3.5996454e-05
1.6804591     1.1059033  3.506476e-05
1.7450921     1.0856438 3.4319124e-05
1.8097251     1.0719449 3.4080755e-05
1.8743582     1.0602202  3.302537e-05
1.9389912     1.0573614 3.2997204e-05
2.0036243     1.0528054  3.144393e-05
2.0682573     1.0505475 3.0851893e-05
2.1328903     1.0474858 2.9610328e-05
2.1975234     1.0432659 2.8657037e-05
2.2621564     1.0360051 2.7358306e-05
2.3267895     1.0299421 2.7102904e-05
2.3914225     1.0255138 2.6431956e-05
2.4560555     1.0207761  2.544269e-05
2.5206886     1.0162241 2.4779662e-05
2.5853216     1.0127456 2.3931078e-05
2.6499547     1.0085454 2.2633037e-05
2.7145877     1.0067838 2.2093214e-05
2.7792208     1.0032839 2.0280055e-05
2.8438538     1.0005117 2.0448293e-05
2.9084868    0.99893553 1.9697643e-05
2.9731199    0.99628597 1.8665184e-05
3.0377529    0.99417083 1.7513518e-05
3.102386    0.99201258 1.5830797e-05
3.167019    0.99017067 1.4384112e-05
3.231652    0.98960183 1.3514098e-05
3.2962851    0.98963043 1.1973339e-05
3.3609181    0.98865733 1.2233243e-05
3.4255512    0.98742108 1.0167799e-05
3.4901842    0.98676981 9.1131724e-06
3.5548172    0.98565323 9.7979858e-06
3.6194503    0.98381276 7.1363802e-06
3.6840833    0.98293595 6.4827857e-06
3.7487164    0.98156483 4.6500551e-06
3.8133494    0.98086041 3.3738433e-06
3.8779824    0.98161685 2.5238763e-06
3.9426155     0.9800744 5.0646353e-06
4.0072485    0.97993345 6.9955824e-06
4.0718816    0.97777461  6.999313e-06
4.1365146    0.97766937 8.7525428e-06
4.2011476    0.97780068 9.8083177e-06
4.2657807    0.97786017 1.1623784e-05
4.3304137    0.97656037 1.0530341e-05
4.3950468    0.97589073 1.1811789e-05
4.4596798    0.97574248 1.2236313e-05
4.5243128    0.97422378 1.3745684e-05
4.5889459    0.97410531 1.4536503e-05
4.6535789    0.97231357 1.4380151e-05
4.718212    0.97153362 1.4362577e-05
4.782845    0.97127366 1.4403562e-05
4.8474781    0.97069629 1.5609575e-05
4.9121111    0.97003214 1.5784386e-05
4.9767441    0.96947918 1.5730199e-05
5.0413772    0.96826884 1.6135848e-05
5.1060102    0.96768009  1.669605e-05
5.1706433    0.96664453 1.6676482e-05
5.2352763     0.9666699 1.6772704e-05
5.2999093    0.96611131  1.718313e-05
5.3645424    0.96491342 1.7449404e-05
5.4291754    0.96465442 1.7391808e-05
5.4938085    0.96430147 1.7966805e-05
5.5584415    0.96404175 1.8515314e-05
5.6230745    0.96400784 1.8357145e-05
5.6877076    0.96205341 1.8886004e-05
5.7523406    0.96154993 1.9252832e-05
5.8169737    0.96122056 1.8640459e-05
5.8816067    0.96020954  1.941775e-05
5.9462397    0.95914146 1.9413832e-05
6.0108728    0.95916605 1.9438217e-05
6.0755058    0.95857836 1.9346982e-05
6.1401389     0.9574554 1.9273942e-05
6.2047719    0.96035167 1.8739824e-05
6.2694049    0.96052093 1.9282127e-05
6.334038    0.95989038 2.0072882e-05
6.398671    0.95954965 1.9984806e-05
