# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.025649639             0             0
0.051299278             0             0
0.076948918             0             0
0.10259856             0             0
0.1282482             0             0
0.15389784             0             0
0.17954747             0             0
0.20519711             0             0
0.23084675             0             0
0.25649639             0             0
0.28214603             0             0
0.30779567             0             0
0.33344531             0             0
0.35909495             0             0
0.38474459             0             0
0.41039423             0             0
0.43604387             0             0
0.46169351             0             0
0.48734314             0             0
0.51299278             0             0
0.53864242             0             0
0.56429206             0             0
0.5899417             0             0
0.61559134             0             0
0.64124098             0             0
0.66689062             0             0
0.69254026             0             0
0.7181899             0             0
0.74383954             0             0
0.76948918             0             0
0.79513882             0             0
0.82078845             0             0
0.84643809 1.5886037e-05 2.8645493e-06
0.87208773  0.0011884995 1.0179626e-05
0.89773737   0.024445321 2.2058374e-05
0.92338701    0.16823959 3.5941208e-05
0.94903665    0.56860674 4.4328339e-05
0.97468629     1.2056553 4.5421566e-05
1.0003359     1.8590161 3.2288608e-05
1.0259856     2.3268763 2.2456011e-05
1.0516352     2.5273328  3.800972e-05
1.0772848     2.5246217 4.0637542e-05
1.1029345     2.3778078 3.0606633e-05
1.1285841     2.1578601 1.5777437e-05
1.1542338      1.942056 2.0670448e-05
1.1798834     1.7306952 3.3975995e-05
1.205533     1.5380682 3.8813964e-05
1.2311827     1.3709021   4.16906e-05
1.2568323     1.2301988 4.2824006e-05
1.282482     1.1087641 4.3306352e-05
1.3081316      1.010847 4.3999753e-05
1.3337812    0.92987226 4.4607097e-05
1.3594309    0.86163987 4.3793652e-05
1.3850805    0.80725125 4.1429897e-05
1.4107302    0.76098073  4.152209e-05
1.4363798    0.72866089 4.2304188e-05
1.4620294    0.70345817 4.2127193e-05
1.4876791    0.68747051 4.1583168e-05
1.5133287    0.67242212 4.1883224e-05
1.5389784    0.66735726 4.0682076e-05
1.564628    0.66558464 4.0153269e-05
1.5902776    0.67164835 3.9551755e-05
1.6159273    0.68322925 3.9520332e-05
1.6415769    0.69854905 3.8872718e-05
1.6672265    0.72062147 3.7945756e-05
1.6928762    0.74974002 3.7867927e-05
1.7185258    0.78149738  3.700718e-05
1.7441755    0.81139433 3.6925942e-05
1.7698251    0.84768794  3.648263e-05
1.7954747    0.88641927 3.5434426e-05
1.8211244    0.92559997 3.4938221e-05
1.846774    0.96250375 3.3563565e-05
1.8724237     1.0014774 3.1660092e-05
1.8980733     1.0448098 3.0989878e-05
1.9237229     1.0801458 2.9424522e-05
1.9493726     1.1157662 2.8281337e-05
1.9750222     1.1429066 2.6557405e-05
2.0006719     1.1632207 2.5396446e-05
2.0263215     1.1774425 2.4711323e-05
2.0519711     1.1827868 2.3877477e-05
2.0776208     1.1842474 2.3808716e-05
2.1032704     1.1764853 2.1838198e-05
2.1289201     1.1611825 2.2312332e-05
2.1545697     1.1382944   2.40507e-05
2.1802193     1.1122168 2.4164038e-05
2.205869      1.088555 2.2582501e-05
2.2315186     1.0632482 2.5022257e-05
2.2571682     1.0338669 2.5152334e-05
2.2828179     1.0020308 2.5974118e-05
2.3084675    0.97849167 2.7533287e-05
2.3341172    0.95325984 2.5982093e-05
2.3597668    0.93374668 2.6034416e-05
2.3854164    0.91589762 2.6201404e-05
2.4110661    0.89971408 2.4809321e-05
2.4367157     0.8878605 2.6249557e-05
2.4623654    0.88053673 2.6717937e-05
2.488015    0.87189722 2.6788341e-05
2.5136646    0.87049862 2.6705308e-05
2.5393143    0.87220717 2.5386708e-05
