# DISTANCE:     AVE_GOFR:        ERROR:
       0             0             0
0.023066429             0             0
0.046132858             0             0
0.069199286             0             0
0.092265715             0             0
0.11533214             0             0
0.13839857             0             0
0.161465             0             0
0.18453143             0             0
0.20759786             0             0
0.23066429             0             0
0.25373072             0             0
0.27679715             0             0
0.29986357             0             0
 0.32293             0             0
0.34599643             0             0
0.36906286             0             0
0.39212929             0             0
0.41519572             0             0
0.43826215             0             0
0.46132858             0             0
0.484395             0             0
0.50746143             0             0
0.53052786             0             0
0.55359429             0             0
0.57666072             0             0
0.59972715             0             0
0.62279358             0             0
0.64586001             0             0
0.66892644             0             0
0.69199286             0             0
0.71505929             0             0
0.73812572             0             0
0.76119215             0             0
0.78425858             0             0
0.80732501             0             0
0.83039144             0             0
0.85345787             0             0
0.87652429 4.6192678e-05  4.714449e-06
0.89959072  0.0029815366 1.4944032e-05
0.92265715   0.051191215 3.1636224e-05
0.94572358    0.31260425 4.7041965e-05
0.96879001     1.0419236  5.684575e-05
0.99185644     2.2646038 3.1518081e-05
1.0149229     3.5515918 7.3127259e-05
1.0379893     4.4292342 0.00011047195
1.0610557       4.64647  0.0001160557
1.0841222     4.2702468 9.9246544e-05
1.1071886     3.5123819 6.9970697e-05
1.130255     2.6348142 2.9369562e-05
1.1533214     1.8054705 3.8515668e-05
1.1763879     1.1451666 5.2382666e-05
1.1994543    0.67307314 5.0775614e-05
1.2225207      0.367494 4.9578023e-05
1.2455872    0.19217581 4.3046746e-05
1.2686536   0.095809226 3.7547608e-05
 1.29172   0.053221643 3.3011385e-05
1.3147864   0.046273121 3.0731433e-05
1.3378529   0.066832896 3.3021793e-05
1.3609193    0.11452904 3.6704016e-05
1.3839857    0.19490835 4.0416912e-05
1.4070522    0.31144052 4.1202763e-05
1.4301186    0.46068905 4.3230759e-05
1.453185    0.62721564 4.3886099e-05
1.4762514    0.77582858  4.521903e-05
1.4993179    0.88835779 4.5819321e-05
1.5223843    0.93445294 4.8849604e-05
1.5454507    0.89620788 4.7199098e-05
1.5685172    0.78518856 4.4272118e-05
1.5915836    0.63129766 4.1727087e-05
 1.61465    0.46760194 4.0306666e-05
1.6377164    0.32546501 3.9347068e-05
1.6607829    0.23124484 3.9586763e-05
1.6838493    0.20477867 4.1080134e-05
1.7069157    0.27245107 4.4402711e-05
1.7299822    0.45348984 4.6978292e-05
1.7530486    0.76007614 4.5631462e-05
1.776115     1.1896016 3.6090608e-05
1.7991814     1.6797711 1.7723268e-05
1.8222479     2.1315945 3.3766853e-05
1.8453143     2.4023767 4.1583255e-05
1.8683807     2.4985304 4.1048064e-05
1.8914472     2.3616449 3.6442579e-05
1.9145136      2.040028 2.5991993e-05
 1.93758      1.616544 1.2567075e-05
1.9606464     1.1744377 3.1719731e-05
1.9837129    0.80232331 4.2265022e-05
2.0067793    0.55744934 4.5792719e-05
2.0298457    0.45438709 4.5700926e-05
2.0529122    0.47651639 4.2535934e-05
2.0759786    0.59085745 3.9178178e-05
2.099045    0.74652497 3.4159916e-05
2.1221114    0.88131168 3.2724068e-05
2.1451779    0.96065822 3.5408395e-05
2.1682443    0.96342818 3.6252616e-05
2.1913107    0.89298274 3.4954978e-05
2.2143772    0.77632045 3.3879837e-05
2.2374436    0.65766825 3.6373811e-05
 2.26051    0.58264298 4.0576007e-05
2.2835765    0.58736353 4.3921905e-05
